Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1901:11:16:0 -0.236143 0.407379 -0.147551 -0.366057
1901:12:16:0 -0.225932 0.477196 -0.0654991 -0.43178
1902:1:16:0 -0.305729 0.522616 0.0831668 -0.60862
1902:2:16:0 -0.138164 0.438444 0.0230531 -0.368913
1902:3:16:0 -0.254764 0.653829 0.0687102 -0.616034
1902:4:16:0 0.271495 0.513934 0.105686 -0.0383148
1902:5:16:0 0.617094 0.596899 -0.39209 0.514689
1902:6:16:0 0.537014 1.06119 -0.475997 0.244418
1902:7:16:0 0.753317 1.19847 -0.406245 0.357203
1902:8:16:0 0.696558 0.845528 -0.410924 0.479256
1902:9:16:0 0.910585 0.902964 -0.655074 0.78664
1902:10:16:0 0.838612 1.38398 -0.587706 0.440478
1902:11:16:0 0.782588 1.21239 -0.553378 0.453083
1902:12:16:0 0.600885 0.615443 -0.454965 0.520646
1903:1:16:0 0.709109 0.342123 -0.310803 0.693448
1903:2:16:0 0.804219 -0.310103 -0.0871788 1.00286
1903:3:16:0 0.726704 -0.246536 -0.260241 0.980092
1903:4:16:0 0.485368 -0.537181 -0.153551 0.830734
1903:5:16:0 0.25138 -0.30563 -0.0873452 0.447867
1903:6:16:0 0.502554 -0.0327115 -0.46956 0.75369
1903:7:16:0 -0.0156044 -0.465879 -0.156655 0.295662
1903:8:16:0 0.221848 -0.710731 -0.159371 0.656899
1903:9:16:0 -0.0599447 -0.785981 -0.180948 0.42352
1903:10:16:0 -0.116874 -0.818907 -0.13824 0.3617
1903:11:16:0 -0.246176 -0.535107 -0.276407 0.159581
1903:12:16:0 -0.338387 -0.682309 -0.148736 0.0771362
1904:1:16:0 -0.671562 -0.0713897 -0.0306792 -0.620528
1904:2:16:0 -0.436365 -0.484462 -0.207356 -0.0904556
1904:3:16:0 -0.25436 -0.651332 -0.130528 0.136571
1904:4:16:0 -0.261121 -0.64723 -0.292503 0.208745
1904:5:16:0 -0.394432 0.0839868 -0.293518 -0.289666
1904:6:16:0 -0.096959 0.0173751 -0.301499 0.045103
1904:7:16:0 0.240713 0.522841 -0.302011 0.130298
1904:8:16:0 0.144759 0.833637 -0.555199 0.00554013
1904:9:16:0 0.0597862 0.509345 -0.316927 -0.0364225
1904:10:16:0 0.520063 0.74428 -0.408214 0.352029
1904:11:16:0 -0.141948 0.743575 -0.29986 -0.363806
1904:12:16:0 0.485595 0.48997 -0.114067 0.297644
1905:1:16:0 0.309378 0.50984 -0.4126 0.260758
1905:2:16:0 0.586254 0.127885 -0.29365 0.669137
1905:3:16:0 0.51103 0.636712 -0.222362 0.303855
